nycha_vendor_name,passport_supplier_id,note
PHOENIX ENVIRONMENTAL LABORATORIES INC,-,reviewed 2026-07-25: NOT ENVIRONMENTAL LABORATORIES INC (#1628187)
RCL ENTERPRISES,-,reviewed 2026-07-25: NOT L&Y ENTERPRISES LLC (#1933335)
SHER RESTORATION CORP,-,reviewed 2026-07-25: NOT 3H RESTORATION INC (#1955458)
TITAN RENOVATION INC,-,reviewed 2026-07-25: NOT I & A RENOVATION INC (#1900040)
C.E. ELECTRONICS INC.,-,reviewed 2026-07-25: NOT BEE ELECTRONICS INC (#1679770)
UNITED LAWYERS SERVICES INC.,-,"reviewed 2026-07-25: NOT United Sales & Services, Inc. (#1896353)"
"EASTCO BUILDING SERVICES, INC.",-,reviewed 2026-07-25: NOT EE BUILDING SERVICES INC (#1975731)
MANAGEMENT CONCEPTS INC,-,"reviewed 2026-07-25: NOT Labor Management Concepts, INC. (#1875315)"
"EMPIRE CITY CONSTRUCTION, INC.",-,reviewed 2026-07-25: NOT My City Construction Corp (#1950425)
"MOTION CONTROL ENGINEERING, INC.",-,reviewed 2026-07-25: NOT NOISE CONTROL ENGINEERING LLC (#1831870)
HD SUPPLY CONSTRUCTION LTD,-,"reviewed 2026-07-25: NOT HD Supply Construction Supply Group, Inc. (#1903333)"
LAW OFFICES SUZANNE M CARTER LLC,1835489,reviewed 2026-07-25: confirmed same vendor (owner-approved)
